"";"species";"order";"family";"IUCN_status_real";"IUCN_status_imputed";"GE";"ED";"ED_rank";"EDGE";"EDGE_rank";"HEDGE";"HEDGE_rank";"LEDGE";"LEDGE_rank"
"1377";"Dorcopsis_hageni";"Diprotodontia";"Macropodidae";"LC";"LC";0;5,0709333813959;2686;1,80351236283754;3652;0,000143716355816266;3389;2,8741833999695;1980
"1378";"Dorcopsis_luctuosa";"Diprotodontia";"Macropodidae";"VU";"VU";2;4,76410982671849;2871;3,13794509298239;1281;0,122624211393404;1140;2,32986001647468;2433
"1379";"Dorcopsis_muelleri";"Diprotodontia";"Macropodidae";"LC";"LC";0;4,81123606684795;2844;1,75979329640274;3761;0,000131116234879765;3520;2,62219358136041;2167
"1380";"Dorcopsulus_macleayi";"Diprotodontia";"Macropodidae";"LC";"LC";0;5,92851115044352;2215,5;1,93564494891429;3345;0,0001885030500001;3051;3,76987249695199;1480
"1381";"Dorcopsulus_vanheurni";"Diprotodontia";"Macropodidae";"NT";"NT";1;5,92851115044352;2215,5;2,62879212947424;1959;0,0150597714490001;1627;3,74988309080102;1486
"1382";"Dremomys_everetti";"Rodentia";"Sciuridae";"LC";"LC";0;3,94773423652296;3398;1,59892974179488;4152;4,9339490725e-05;4830;0,986740475009275;4158
"1383";"Dremomys_gularis";"Rodentia";"Sciuridae";"LC";"LC";0;4,28683616940221;3172;1,66521998933272;3995;6,48791309583663e-05;4490;1,29751774003637;3651
"1384";"Dremomys_lokriah";"Rodentia";"Sciuridae";"LC";"LC";0;7,15091001069307;1697;2,09812957877326;2984;0,0002548445;2679;5,0966351555;979
"1385";"Dremomys_pernyi";"Rodentia";"Sciuridae";"LC";"LC";0;5,03060719572343;2707;1,79684770147781;3667;0,000134359268825;3485;2,68705101723118;2116
"1386";"Dremomys_pyrrhomerus";"Rodentia";"Sciuridae";"LC";"LC";0;3,74367204868647;3569;1,55681152960233;4263;3,7057581463462e-05;5066;0,741114571687776;4537
"1387";"Dremomys_rufigenis";"Rodentia";"Sciuridae";"LC";"LC";0;3,70292953478046;3611;1,5481856198144;4292;3,2203962337504e-05;5170;0,644047042787743;4706
"1388";"Dromiciops_gliroides";"Microbiotheria";"Microbiotheriidae";"NT";"NT";1;64,5191670107549;2;4,87548990651288;98;0,25672;931;63,92328;2
"1389";"Dryomys_laniger";"Rodentia";"Gliridae";"DD";"LC";0;10,2286762168105;859;2,41847088262222;2268;0,0002379787015547;2750;4,75933605239245;1079
"1390";"Dryomys_niethammeri";"Rodentia";"Gliridae";"VU";"VU";2;9,91573760748001;919;3,77649992625312;697;0,204401236836684;996;3,88362349989699;1414
"1391";"Dryomys_nitedula";"Rodentia";"Gliridae";"LC";"LC";0;10,3517400576225;841;2,42937104121841;2252;0,0002386493451209;2747;4,77274825307288;1075
"1392";"Dugong_dugon";"Sirenia";"Dugongidae";"VU";"VU";2;28,2123090757644;57;4,76088452526011;140;1,522212125;370;28,922030375;20
