"";"species";"range_size"
"529";"Callicebus_regulus";372494,739465721
"530";"Callicebus_stephennashi";102436,053353073
"531";"Callicebus_torquatus";428368,95038558
"532";"Callimico_goeldii";1015048,16504409
"533";"Callistomys_pictus";55874,2109198582
"534";"Callithrix_aurita";297995,791572577
"535";"Callithrix_flaviceps";74498,9478931443
"536";"Callithrix_geoffroyi";242121,580652719
"537";"Callithrix_jacchus";1257169,74569681
"538";"Callithrix_kuhlii";93123,6848664304
"539";"Callithrix_penicillata";1685538,69608239
"540";"Callorhinus_ursinus";19136917,2400514
"541";"Callosciurus_adamsi";288683,423085934
"542";"Callosciurus_albescens";121060,790326359
"543";"Callosciurus_baluensis";148997,895786289
"544";"Callosciurus_caniceps";1042985,27050402
"545";"Callosciurus_erythraeus";5308050,03738653
"546";"Callosciurus_finlaysonii";1108171,84991052
"547";"Callosciurus_inornatus";493555,529792081
"548";"Callosciurus_melanogaster";65186,5794065013
"549";"Callosciurus_nigrovittatus";1229232,64023688
"550";"Callosciurus_notatus";2495714,75442033
"551";"Callosciurus_orestes";139685,527299646
"552";"Callosciurus_phayrei";279371,054599291
"553";"Callosciurus_prevostii";2039408,69857482
"554";"Callosciurus_pygerythrus";940549,217150947
"555";"Callosciurus_quinquestriatus";83811,3163797873
"556";"Callospermophilus_lateralis";2514339,49139362
"557";"Callospermophilus_madrensis";139685,527299646
"558";"Callospermophilus_saturatus";158310,264272932
"559";"Calomys_boliviae";353870,002492435
"560";"Calomys_callidus";130373,158813003
"561";"Calomys_callosus";3762196,86860379
"562";"Calomys_expulsus";1713475,80154232
"563";"Calomys_fecundus";130373,158813003
"564";"Calomys_hummelincki";633241,057091726
"565";"Calomys_laucha";1992846,85614161
"566";"Calomys_lepidus";903299,743204375
"567";"Calomys_musculinus";2654025,01869327
"568";"Calomys_sorellus";465618,424332152
"569";"Calomys_tener";2113907,64646797
"570";"Calomys_tocantinsi";214184,47519279
"571";"Calomys_venustus";121060,790326359
"572";"Calomyscus_bailwardi";325932,897032506
"573";"Calomyscus_baluchi";595991,583145154
"574";"Calomyscus_elburzensis";409744,213412294
"575";"Calomyscus_grandis";46561,8424332152
"576";"Calomyscus_hotsoni";242121,580652719
"577";"Calomyscus_mystax";474930,792818795
"578";"Calomyscus_tsolovi";9312,36848664304
"579";"Calomyscus_urartensis";37249,4739465721
"580";"Caloprymnus_campestris";0
"581";"Caluromys_derbianus";1406167,6414831
"582";"Caluromys_lanatus";6136850,83269776
"583";"Caluromys_philander";4916930,56094752
"584";"Caluromysiops_irrupta";335245,265519149
"585";"Calyptophractus_retusus";419056,581898937
"586";"Camelops_hesternus";0
"587";"Camelus_dromedarius";0
"588";"Camelus_ferus";465618,424332152
"589";"Canariomys_bravoi";0
"590";"Canariomys_tamarani";0
"591";"Candiacervus_cretensis";0
